origen;direccion;dia;hora
0;19;0;70000
0;19;0;71400
0;19;0;72800
0;17;0;73400
0;19;0;74000
0;17;0;74600
0;19;0;75200
0;19;0;75800
0;19;0;80400
0;17;0;81000
0;19;0;81600
0;17;0;82200
0;19;0;82800
0;17;0;83400
0;19;0;84000
0;17;0;84600
0;19;0;85200
0;17;0;85800
0;19;0;91600
0;19;0;91600
0;19;0;92800
0;19;0;94000
0;19;0;95200
0;19;0;100400
0;19;0;101600
0;19;0;102800
0;19;0;104000
0;19;0;105200
0;19;0;110400
0;19;0;111600
0;19;0;112800
0;19;0;114000
0;19;0;115200
0;19;0;120400
0;19;0;121600
0;19;0;122800
0;19;0;124000
0;19;0;125200
0;19;0;130400
0;19;0;131600
0;19;0;132800
0;19;0;134000
0;19;0;135200
0;19;0;140400
0;19;0;141600
0;19;0;142800
0;19;0;144000
0;19;0;145200
0;19;0;150400
0;19;0;151600
0;19;0;152800
0;19;0;154000
0;19;0;155200
0;19;0;160400
0;19;0;161600
0;19;0;162800
0;19;0;164000
0;19;0;165200
0;19;0;170400
0;19;0;171600
0;19;0;172800
0;19;0;174000
0;17;0;175200
0;19;0;175800
0;17;0;180400
0;19;0;181000
0;17;0;181600
0;19;0;182200
0;17;0;182800
0;19;0;183400
0;17;0;184000
0;19;0;184600
0;17;0;185200
0;19;0;185800
0;17;0;190400
0;19;0;191000
0;17;0;191600
0;19;0;192200
0;17;0;192800
0;19;0;192800
0;19;0;194000
0;19;0;195200
0;19;0;200400
0;19;0;201600
0;19;0;202800
0;19;0;204000
0;19;0;205200
0;19;0;210400
0;19;0;211600
0;19;0;212800
0;19;0;214000
0;19;0;215200
0;19;0;220400
0;19;0;221600
0;19;0;223200
0;19;1;90000
0;19;1;91200
0;19;1;92400
0;19;1;93600
0;19;1;94800
0;19;1;100000
0;19;1;101200
0;19;1;102400
0;19;1;103600
0;19;1;104800
0;19;1;110000
0;19;1;111200
0;19;1;112400
0;19;1;113600
0;19;1;114800
0;19;1;120000
0;19;1;121200
0;19;1;122400
0;19;1;123600
0;19;1;124800
0;19;1;130000
0;19;1;131200
0;19;1;132400
0;19;1;133600
0;19;1;134800
0;19;1;140000
0;19;1;141200
0;19;1;142400
0;19;1;143600
0;19;1;144800
0;19;1;150000
0;19;1;151200
0;19;1;152400
0;19;1;153600
0;19;1;154800
0;19;1;160000
0;19;1;161200
0;19;1;162400
0;19;1;163600
0;19;1;164800
0;19;1;170000
0;19;1;171200
0;19;1;172400
0;19;1;173600
0;19;1;174800
0;19;1;180000
0;19;1;181200
0;19;1;182400
0;19;1;183600
0;19;1;184800
0;19;1;190000
0;19;1;191200
0;19;1;192400
0;19;1;193600
0;19;1;194800
0;19;1;200000
0;19;1;201200
0;19;1;202400
0;19;1;203600
0;19;1;204800
0;19;1;210000
0;19;1;211200
0;19;1;212400
0;19;1;213600
0;19;1;214800
0;19;1;220000
0;19;1;221200
0;19;1;222400
0;19;2;90000
0;19;2;91800
0;19;2;93600
0;19;2;95400
0;19;2;101200
0;19;2;103000
0;19;2;104800
0;19;2;110600
0;19;2;112400
0;19;2;114200
0;19;2;120000
0;19;2;121800
0;19;2;123600
0;19;2;125400
0;19;2;131200
0;19;2;133000
0;19;2;134800
0;19;2;140600
0;19;2;142400
0;19;2;144200
0;19;2;150000
0;19;2;151800
0;19;2;153600
0;19;2;155400
0;19;2;161200
0;19;2;163000
0;19;2;164800
0;19;2;170600
0;19;2;172400
0;19;2;174200
0;19;2;180000
0;19;2;181800
0;19;2;183600
0;19;2;185400
0;19;2;191200
0;19;2;193000
0;19;2;194800
0;19;2;200600
0;19;2;202400
0;19;2;204200
0;19;2;210000
0;19;2;211800
0;19;2;213600
0;19;2;215400
0;19;2;221200
19;0;0;63000
19;0;0;64200
19;0;0;65400
19;0;0;70600
19;0;0;71800
19;0;0;73000
19;0;0;74200
19;0;0;75400
19;0;0;80600
19;0;0;81800
19;0;0;83000
19;0;0;84200
19;0;0;85400
19;0;0;90400
19;0;0;91600
19;0;0;92800
19;0;0;94000
19;0;0;95200
19;0;0;100400
19;0;0;101600
19;0;0;102800
19;0;0;104000
19;0;0;105200
19;0;0;110400
19;0;0;111600
19;0;0;112800
19;0;0;114000
19;0;0;115200
19;0;0;120400
19;0;0;121600
19;0;0;122800
19;0;0;124000
19;0;0;125200
19;0;0;130400
19;0;0;131600
19;0;0;132800
19;0;0;134000
19;0;0;135200
19;0;0;140400
19;0;0;141600
19;0;0;142800
19;0;0;144000
19;0;0;145200
19;0;0;150400
19;0;0;151600
19;0;0;152800
19;0;0;154000
19;0;0;155200
19;0;0;160400
19;0;0;161600
19;0;0;162800
19;0;0;164000
19;0;0;165400
19;0;0;170600
19;0;0;171800
19;0;0;173000
19;0;0;174200
19;0;0;175400
19;0;0;180600
19;0;0;181800
19;0;0;183000
19;0;0;184200
19;0;0;185200
19;0;0;190400
19;0;0;191600
19;0;0;192800
19;0;0;194000
19;0;0;195200
19;0;0;200400
19;0;0;201600
19;0;0;202800
19;0;0;204000
19;0;0;205200
19;0;0;210400
19;0;0;212800
19;0;0;214000
19;0;0;215700
19;0;0;221500
19;0;1;80000
19;0;1;81200
19;0;1;82400
19;0;1;83600
19;0;1;84800
19;0;1;90000
19;0;1;91200
19;0;1;92400
19;0;1;93600
19;0;1;94800
19;0;1;100000
19;0;1;101200
